first,last,job,phone,email,client_id,order_id,order_date,order_week,order_year,item_id,category,subcategory,unit_price,unit_cost,unit_weight,qty,line_number
Kyle,Williams,"Engineer, broadcasting (operations)",+1-432-234-2942,communitywilliams9024@taylor-padilla.biz,81012,5775924,2023-04-12,15,2023,DCD61783-36-6B,software,project management,520.0,457.16,4.92,98,0
Roberto,Howard,"Surveyor, land/geomatics",311.284.4575,roberto.howard.1290@davis-reese.info,74112,2859900,2023-02-06,6,2023,ZAE56533-39-8U,decor,wall art,4.22,3.65,1.82,211,6
Jessica,Reyes,"Production designer, theatre/television/film",5016915923,jessica.reyes@grimes.net,33615,6059361,2023-05-16,20,2023,BDC65078-60-7M,consumables,paper products,229.74,198.38,27.51,568,2
Patricia,Gould,Lobbyist,+1-694-749-5807x94968,newspapergould@walsh.biz,18145,3470698,2023-04-19,16,2023,AME10969-48-7D,consumables,paper products,33.72,30.08,2.01,44,0
Katherine,Taylor,"Psychologist, clinical",(943)632-3743x028,taylor.katherine.733@odonnell.org,48855,5953045,2023-05-11,19,2023,BXM59071-01-6D,electronics,computers,39.25,20.95,6.56,157,1
Matthew,Orozco,Research scientist (maths),+1-259-213-7449x4333,orozcomatthew@carr.com,67407,5014569,2023-04-09,14,2023,CCX95657-71-3B,decor,wall art,29.99,26.84,4.25,29,2
Joseph,Jordan,Government social research officer,680.657.3271x16477,jordan_joseph_4684@gibson.net,26185,2101230,2023-05-13,19,2023,ZEA01443-18-5A,furniture,stands,6.86,4.06,6.89,23,0
Carrie,Green,Colour technologist,+1-242-699-5329x474,c.green@oliver-smith.com,17355,4397711,2023-04-18,16,2023,CUU90642-03-7C,furniture,seating,33.41,26.82,29.12,49,0
David,Reyes,"Production assistant, television",714.475.3974,davidreyes@daniels.org,28523,6832072,2023-04-05,14,2023,UCX86104-19-0Z,consumables,misc,13.77,9.63,6.86,29,1
Shelby,Williams,Colour technologist,664.584.8160x389,williamstry70@armstrong.com,77184,7573941,2023-05-29,22,2023,ZDX29223-32-0B,consumables,paper products,199.05,183.99,8.11,233,4
Tricia,Stephenson,"Lecturer, further education",(978)811-8729x522,triciastephenson@vasquez.org,61603,7490302,2023-03-12,10,2023,ZAU36048-03-9A,furniture,tables,98.43,69.36,4.03,136,2
Patrick,Anderson,Commercial art gallery manager,947-812-9604x27025,andersonboard7205@delgado-hodge.org,51869,5020751,2023-03-16,11,2023,EZX36378-17-7A,consumables,bathroom supplies,53.17,39.52,4.18,52,4
Peter,Roberts,Architectural technologist,9238354425,roberts.peter@warren-sandoval.com,85413,3401371,2023-04-03,14,2023,UAU40137-77-3U,decor,plants,367.76,235.57,10.08,287,4
Christopher,Rhodes,"Engineer, manufacturing systems",001-319-767-5123,rhodeschristopher9096@alvarado.info,74159,6512694,2023-03-09,10,2023,ZMB00381-41-4E,electronics,audio visual,382.59,313.09,7.97,60,3
Glenn,Garcia,Textile designer,573.981.6374,determinegarcia5685@velasquez.com,33804,6024379,2023-01-26,4,2023,XZZ76042-95-6X,consumables,paper products,5.17,3.53,6.9,2163,2
Peter,Roberts,Architectural technologist,9238354425,roberts.peter@warren-sandoval.com,85413,9362283,2023-01-18,3,2023,BAD54487-56-3C,consumables,paper products,7.14,5.1,1.23,129944,4
Patrick,Anderson,Commercial art gallery manager,947-812-9604x27025,andersonboard7205@delgado-hodge.org,51869,8668707,2023-04-07,14,2023,UZZ84388-36-3B,consumables,pens,99.34,85.53,2.08,51,0
Jacob,Mendoza,Air cabin crew,+1-264-485-0270x066,jacobmendoza@johnson.biz,54932,5175749,2023-05-28,21,2023,DBE42716-07-1U,consumables,paper products,37.71,35.55,0.5,52,1
Tiffany,Lowe,Medical illustrator,001-755-263-0037x84650,lowetiffany3935@rodriguez.com,87125,8026387,2023-01-11,2,2023,UMC49136-12-1E,furniture,tables,210.12,137.62,16.9,54,4
Caleb,Rice,Technical brewer,868.703.3751x760,riceelse@collins.com,10643,1940019,2023-03-03,9,2023,EDU54097-48-4E,consumables,bathroom supplies,156.03,125.57,5.56,136,3
Deborah,Cook,"Radiographer, therapeutic",747.841.2427x57672,cook.d@martin-yoder.com,10351,3052159,2023-01-27,4,2023,MAU13971-98-9B,software,accounting,163.59,106.62,3.94,309,5
Richard,Kennedy,Race relations officer,+1-551-603-4716,rkennedy@mcneil.info,10559,7323275,2023-01-11,2,2023,ZEZ40347-39-4X,decor,wall art,410.17,372.06,2.35,67,3
Connie,Harris,"Horticulturist, amenity",(881)845-5127,bookharris@richardson-foster.com,31733,4657177,2023-05-28,21,2023,UUE15482-56-0X,electronics,computers,40.8,28.61,2.12,91,1
Cynthia,Palmer,"Surveyor, rural practice",+1-843-385-5943x730,palmer.cynthia@weaver.com,95847,6155436,2023-03-15,11,2023,CCA32097-88-6M,software,logistics,201.92,178.7,1.93,159,2
Erin,Robertson,Science writer,+1-449-731-7108x96007,robertsonerin8454@cox.com,97623,9311270,2023-04-29,17,2023,AEE51706-20-3U,consumables,paper products,42.06,30.31,1.28,112,1
Catherine,Barnes,Airline pilot,+1-428-595-7971x494,affect.catherine.6507@singh.org,68703,4178798,2023-03-27,13,2023,DZX13514-89-1M,furniture,stands,61.75,54.06,0.78,221,5
Corey,Wells,Environmental health practitioner,+1-500-281-1615x1387,wellsc964@mercado.com,28927,8688413,2023-04-15,15,2023,CZC97008-29-8E,consumables,misc,209.6,116.11,10.74,107,2
Bradley,Spencer,Warehouse manager,+1-260-443-8861x751,b.spencer.1089@ross.com,48015,5300796,2023-04-18,16,2023,AEM31850-24-5M,software,project management,47.27,36.01,0.27,105,2
Andrea,Brooks,IT technical support officer,+1-225-510-6030,brooks_institution_650@stone.com,90654,9611044,2023-05-23,21,2023,MDB11336-71-2E,furniture,tables,29.03,27.0,0.85,37,4
Mallory,Mitchell,Quarry manager,335-735-8539x4710,mitchell.mallory.7004@powell-english.com,67516,7012133,2023-04-24,17,2023,XAU13501-34-9A,software,project management,1.75,1.62,1.39,66,1
William,Mccann,"Accountant, chartered",001-664-359-2306x9919,mccannw5477@rodriguez-johnson.com,75118,3735477,2023-03-14,11,2023,CBZ89457-17-5C,furniture,tables,57.06,37.57,2.43,65,0
Douglas,Bean,"Doctor, general practice",233.661.3092,generation.d@brown.com,32185,8882115,2023-04-07,14,2023,AED36322-86-8U,furniture,stands,141.4,131.96,1.89,43,2
Victor,Griffith,Structural engineer,001-234-380-1800,victorgriffith@contreras.com,96736,1035406,2023-05-21,20,2023,AZB92583-19-5D,electronics,telecom,41.42,30.02,1.1,131,5
Taylor,Wagner,Toxicologist,001-870-430-0002x9776,wagner_t@brown.com,89499,4765519,2023-02-28,9,2023,DXU77211-79-0B,furniture,stands,200.79,136.93,6.7,192,4
Barry,Johnson,"Education officer, museum",3804491689,johnson.end@clarke.com,79827,3117013,2023-05-04,18,2023,AED36322-86-8U,furniture,stands,141.4,131.96,1.89,236,2
Daniel,Newman,"Designer, interior/spatial",907-222-8932,newman.daniel.3570@patel.com,45569,8286486,2023-03-12,10,2023,EUX51497-34-6B,consumables,bathroom supplies,175.21,162.27,13.83,10,2
Ashley,Hernandez,Retail buyer,264-496-5412,ashley.later.185@hernandez-shaw.info,61647,4950072,2023-01-30,5,2023,AEE37351-26-7B,software,logistics,2.55,1.83,34.85,290,9
Vincent,Davis,"Designer, exhibition/display",(388)713-4554,davisvincent3740@lopez-king.net,53409,9662359,2023-01-14,2,2023,XBM94536-93-1U,decor,misc,0.87,0.5,0.96,22,2
Daniel,Newman,"Designer, interior/spatial",907-222-8932,newman.daniel.3570@patel.com,45569,8286486,2023-03-12,10,2023,AUZ65769-43-0D,furniture,stands,18.76,17.3,10.9,31,4
Curtis,Garcia,Bookseller,676-685-3722x870,curtis.garcia.6686@gardner.com,17002,9585312,2023-05-16,20,2023,EBB79610-74-2A,decor,wall art,208.75,179.17,7.2,22,4
Julie,Simmons,Solicitor,772.712.5676x77559,j.simmons@allen.org,18349,6861013,2023-04-04,14,2023,BUZ87260-13-9U,furniture,seating,34.02,20.43,19.89,60,2
Mark,Turner,Education administrator,(640)604-9066,markturner4518@garcia.com,25936,3329651,2023-05-28,21,2023,AZZ67118-40-3X,consumables,pens,14.9,12.26,3.07,92,4
Jared,Taylor,Haematologist,729-249-1032,taylorj@romero.com,37715,6174735,2023-01-07,1,2023,DAA84430-62-7E,consumables,bathroom supplies,4.67,2.39,10.49,116,5
Derrick,Moore,Musician,358.661.5483,derrick.moore.2602@pope.info,41908,2857192,2023-01-12,2,2023,CZC97008-29-8E,consumables,misc,209.6,116.11,10.74,79,3
Brian,Aguilar,"Biochemist, clinical",614-679-1309,brian.aguilar@moore.com,25397,8603161,2023-05-09,19,2023,EXZ72163-60-7E,furniture,tables,105.52,62.32,1.28,804,3
Jose,Kelly,Horticultural therapist,872-417-2324,josekelly3183@hardy.info,59472,6626275,2023-02-09,6,2023,BZA26056-26-5E,furniture,tables,77.67,63.44,6.85,95,3
Karen,Chase,Waste management officer,+1-425-229-5573x3592,k.force@davis-clark.com,77583,4771221,2023-01-03,1,2023,UDU71983-12-5A,furniture,tables,196.08,145.92,2.76,24,0
Christopher,Hobbs,Health and safety inspector,663-527-5878,hobbsc9635@weaver.com,34507,2482488,2023-03-09,10,2023,XZX22516-16-1D,consumables,paper products,125.71,77.03,9.66,205,2
James,Wilkinson,"Conservator, museum/gallery",991.297.5872x313,jamesperson@gonzalez-hoffman.biz,17697,1387106,2023-03-21,12,2023,MZZ08726-32-4E,consumables,paper products,14.23,12.02,0.25,184,2
Brian,Peterson,Clinical psychologist,4475634903,petersonbrian2187@gonzales.com,33956,9476526,2023-03-01,9,2023,XMZ29558-27-0E,furniture,stands,132.03,105.7,8.68,61,4
Kristin,Kennedy,Environmental education officer,597.964.7365x20893,kennedyk@buckley-stewart.net,56645,6588913,2023-02-20,8,2023,CXE69352-78-8D,furniture,stands,166.92,104.79,1.49,57,3
Michelle,Cervantes,Psychiatrist,(769)568-5844x7004,cervantesm5294@taylor-spencer.biz,42481,5203781,2023-03-31,13,2023,MDB11336-71-2E,furniture,tables,29.03,27.0,0.85,34,3
James,Carlson,Press sub,001-347-367-6286,jcarlson936@rhodes-mcguire.biz,28011,8527601,2023-05-21,20,2023,XAU13501-34-9A,software,project management,1.75,1.62,1.39,128,6
Marvin,Thompson,Environmental manager,8096492467,thompsonblue9279@serrano.com,21654,9644318,2023-02-21,8,2023,UCA50032-06-6Z,consumables,pens,27.69,23.84,11.48,40,4
Paul,Vasquez,"Teacher, special educational needs",(520)767-2543x5513,paul_vasquez@brown-middleton.biz,43361,3381275,2023-01-03,1,2023,DBA45511-20-8X,decor,wall art,7.06,3.94,2.94,42,3
Erin,Davis,"Journalist, magazine",480-446-3324,davisability9522@smith.net,73729,6063320,2023-05-20,20,2023,AAD15703-65-3A,furniture,stands,7.58,4.06,8.73,19,0
Joel,Ward,"Teacher, special educational needs",(665)691-8992x8946,wardj71@harris.biz,32597,5202406,2023-04-05,14,2023,DAC51737-51-1U,decor,misc,39.1,29.5,8.16,40,3
Leah,Middleton,"Geologist, engineering",(928)705-9665,middleton.l@harris-turner.biz,34878,4264320,2023-03-14,11,2023,ABZ67090-80-1E,consumables,kitchen supplies,345.24,316.68,7.74,361,8
Patricia,Arias,IT consultant,9636683715,patriciaarias@woodward.com,24053,2127882,2023-03-14,11,2023,ZMM00836-65-0C,consumables,pens,36.42,24.85,1.23,103,2
Dylan,Ramirez,Hospital doctor,(705)408-6720,ramirezauthority7757@guerra.com,48148,5518899,2023-04-14,15,2023,CXA71663-03-5E,furniture,tables,128.48,67.55,2.62,43,4
Frank,Pennington,"Surveyor, minerals",390.635.1527x48203,penningtonfrank@monroe.biz,27983,7658522,2023-04-04,14,2023,BDX80155-32-9Z,consumables,kitchen supplies,26.19,20.51,0.78,99,0
Thomas,Ellis,Haematologist,859-645-6362x6697,ellis.t.2291@benson.net,55398,8766547,2023-02-11,6,2023,MMX68420-20-5Z,consumables,bathroom supplies,27.58,18.29,3.87,226,2
Mary,Mcmillan,Leisure centre manager,+1-560-993-8538x5225,mcmillansure@werner.info,40622,1155527,2023-04-11,15,2023,DXM06765-78-0E,consumables,pens,268.31,208.61,4.28,92,7
Rebecca,Morgan,Field trials officer,+1-489-283-4446x3978,morganr@hardy-patterson.biz,41766,1440330,2023-04-04,14,2023,CZB28228-41-7E,consumables,paper products,26.43,16.42,4.42,18,0
Kevin,Austin,Accommodation manager,739.655.4906,austink8057@nunez.com,40677,8316396,2023-02-09,6,2023,EMD25345-63-4E,consumables,kitchen supplies,14.73,10.21,2.77,142,4
Mitchell,Vincent,Learning disability nurse,+1-335-783-3219x7125,vincent_m@sullivan.com,92169,6008883,2023-01-02,1,2023,UXZ38972-80-3D,consumables,paper products,43.32,22.76,3.77,309,6
Maria,Campbell,"Teacher, music",605.594.6169x82827,maria.campbell@fernandez.com,74058,8069588,2023-01-13,2,2023,EAD03713-67-2X,furniture,seating,195.96,150.33,2.26,802,0
Sarah,Richardson,"Exhibitions officer, museum/gallery",2056834802,richardsonsmile4695@merritt.com,79361,2052372,2023-04-23,16,2023,UDU71983-12-5A,furniture,tables,196.08,145.92,2.76,93,0
Deborah,Cook,"Radiographer, therapeutic",747.841.2427x57672,cook.d@martin-yoder.com,10351,8765049,2023-01-02,1,2023,XUX09951-98-0M,consumables,bathroom supplies,301.87,166.09,0.26,111,6
Erica,Colon,Learning mentor,580-422-4977x362,colon.erica.1035@reese.biz,31268,4582776,2023-04-09,14,2023,DCM29568-31-1X,consumables,bathroom supplies,169.54,133.28,2.2,29073,0
Cameron,Jackson,"Investment banker, corporate",623-676-8648,jacksonrisk@richardson.com,34313,5736615,2023-02-05,5,2023,DAA84430-62-7E,consumables,bathroom supplies,4.67,2.39,10.49,20,1
Joel,Ward,"Teacher, special educational needs",(665)691-8992x8946,wardj71@harris.biz,32597,4962401,2023-04-20,16,2023,CXM05853-90-1A,furniture,desks,43.14,25.8,0.48,75,1
Patrick,Espinoza,Recruitment consultant,3533882109,pespinoza@alvarado.com,95108,1318745,2023-01-21,3,2023,CCE07839-03-6B,furniture,seating,29.04,20.33,14.82,120,1
Jeffrey,West,Consulting civil engineer,275.273.7253x448,yardjeffrey5918@walker-moody.com,34706,8515697,2023-01-19,3,2023,XZC13991-98-6E,furniture,tables,56.94,36.46,4.01,58,5
Regina,Schultz,Audiological scientist,+1-510-322-0750x3348,regina.service@davis.biz,70043,4602169,2023-03-25,12,2023,MDX79267-14-6Z,decor,wall art,22.35,20.48,0.19,392,0
Tim,Cannon,Secretary/administrator,220-815-3173x9574,tcannon7516@hines-jenkins.com,12286,2522202,2023-05-17,20,2023,MBC13228-21-7U,decor,wall art,23.07,16.66,5.13,202,6
Christopher,Hanson,"Surveyor, land/geomatics",(580)667-3817x00993,hanson.reason@schultz-kim.com,76087,6761919,2023-02-13,7,2023,XMA81002-90-1B,consumables,paper products,98.46,69.37,1.73,80,6
Laurie,Gilbert,Armed forces training and education officer,661.688.5274,gilbertchair7818@smith.net,99043,2667385,2023-05-18,20,2023,EZX36378-17-7A,consumables,bathroom supplies,53.17,39.52,4.18,13,0
Timothy,Powell,Insurance underwriter,(806)913-6676x7547,powellpattern@hunter.com,28331,8386735,2023-04-25,17,2023,MUZ81503-74-3D,furniture,tables,65.9,58.86,2.61,10,5
Nicole,Hernandez,Sports therapist,402.788.4214,record.hernandez@reid-taylor.biz,47644,4991167,2023-02-09,6,2023,EAD03713-67-2X,furniture,seating,195.96,150.33,2.26,29,4
Susan,Lewis,"Therapist, sports",2913618427,s.lewis.5434@parker-reid.biz,13436,8468237,2023-02-06,6,2023,EBA49136-27-6B,software,project management,36.49,21.29,13.78,377,4
Curtis,Brown,Housing manager/officer,423-974-8701,browncurtis@perez.org,31165,2901241,2023-02-26,8,2023,ECE68439-05-8C,furniture,seating,14.82,8.82,4.43,164,5
Charles,Bennett,Careers adviser,(221)982-2270x19204,bennettc@dyer.info,79451,8426913,2023-02-15,7,2023,XDX02308-74-0X,decor,plants,136.49,90.12,7.05,24,2
Dwayne,Evans,Politician's assistant,001-549-793-2545,evans.d@turner-tate.com,22890,6822189,2023-05-05,18,2023,DDC54647-18-0D,decor,wall art,22.81,12.79,2.56,50,5
Alexander,Martin,Retail buyer,9487066159,martin.remain.2103@estrada.com,14180,6977492,2023-03-07,10,2023,UEB18566-50-8M,furniture,seating,5.19,3.95,3.21,62,0
Erik,Gross,IT trainer,313-970-3023x5865,erikgross@nelson.com,32098,3998530,2023-05-20,20,2023,EUD29711-63-6U,decor,wall art,1096.8,762.71,7.5,107,3
Kyle,Williams,"Engineer, broadcasting (operations)",+1-432-234-2942,communitywilliams9024@taylor-padilla.biz,81012,8126485,2023-05-17,20,2023,AUM78855-69-8C,consumables,bathroom supplies,63.78,37.88,3.8,45,2
Nina,Mullen,Warden/ranger,001-595-635-1880x1626,mullennina3963@fox.info,71958,2164235,2023-03-08,10,2023,DDM14031-55-4U,furniture,seating,40.22,22.7,1.04,32,6
Nicholas,Williams,Radio producer,393.560.7337x2039,nicholas.williams.6317@strong.biz,56590,7777768,2023-01-15,2,2023,UZX16759-11-7E,software,accounting,13.68,10.71,7.95,1167,4
Katherine,Hughes,Commercial/residential surveyor,984.810.5078x1155,hughesk9561@brown.org,84527,7272566,2023-02-01,5,2023,ZDX29223-32-0B,consumables,paper products,199.05,183.99,8.11,22,4
Alexis,Short,Production engineer,(575)676-3797,alexisshort2742@alvarez-lewis.com,38220,2542733,2023-04-19,16,2023,XBZ49450-02-4X,electronics,cabling,329.58,195.05,20.56,59,1
Patricia,Arias,IT consultant,9636683715,patriciaarias@woodward.com,24053,1497881,2023-01-30,5,2023,UUE11223-33-8E,consumables,misc,1.49,0.84,9.23,162,6
George,Castillo,"Engineer, land",865.902.1326,developmentcastillo1825@smith-brennan.com,19206,9461732,2023-05-28,21,2023,MEX67117-45-3X,decor,wall art,23.4,21.53,3.03,54,0
Jackie,Castillo,Osteopath,575.548.5283x23230,castillo.jackie.4443@white.com,91091,6244196,2023-03-10,10,2023,DDM14031-55-4U,furniture,seating,40.22,22.7,1.04,22,6
Taylor,Carr,Sales executive,550.208.9768,carrtaylor@ibarra.net,14312,1820335,2023-04-23,16,2023,BCA61260-90-4C,consumables,pens,32.69,28.34,0.54,59,5
Whitney,Farrell,Immigration officer,+1-544-887-2302x685,farrell.w@hall.com,75546,7241410,2023-03-25,12,2023,UMZ55878-40-0A,decor,plants,448.58,331.15,8.95,100,5
Clarence,Chang,Records manager,001-439-537-5844,chang.c.9094@gardner-sawyer.info,57762,3048979,2023-05-05,18,2023,UMM09630-46-2U,software,project management,386.67,238.59,0.03,897,2
Wendy,Doyle,Financial risk analyst,(446)281-8395x771,doylesite8038@wiley.net,10520,4733553,2023-03-11,10,2023,EMA34385-20-0D,consumables,kitchen supplies,61.6,34.17,0.74,263,6
Diane,Green,Physiotherapist,780.853.3140,dianegreen@smith.com,86810,5497359,2023-03-05,9,2023,AUM78855-69-8C,consumables,bathroom supplies,63.78,37.88,3.8,14,7
Peter,Andrews,Video editor,396.538.3105,pandrews6748@poole-blanchard.com,31715,7561605,2023-02-04,5,2023,DBB14937-44-0B,consumables,bathroom supplies,207.41,175.28,12.61,466,3
Victoria,Flores,Educational psychologist,001-418-361-8621,victoriainternational@blanchard.com,65049,1720923,2023-05-04,18,2023,ZAM61851-20-6X,electronics,telecom,784.95,684.06,3.04,22,0
Karen,Ellis,Animal technologist,001-821-851-4592x09341,karen.ellis.8415@ray.org,87506,8599970,2023-02-03,5,2023,BXE82169-43-5A,consumables,bathroom supplies,162.73,141.67,0.2,262,5
Kristin,Kennedy,Environmental education officer,597.964.7365x20893,kennedyk@buckley-stewart.net,56645,6588913,2023-02-20,8,2023,XMM58179-13-2D,furniture,seating,310.36,280.49,12.0,36,1
Christopher,Johnson,"Radiographer, therapeutic",5164552436,c.road@olsen.com,22670,9299352,2023-01-28,4,2023,BMC88447-40-2U,consumables,bathroom supplies,1.14,0.91,4.48,30,6
Corey,Levy,Claims inspector/assessor,001-655-546-5191,levy.corey@glover.com,49058,6810506,2023-04-20,16,2023,CED56415-56-2M,consumables,misc,42.6,34.11,1.88,456,2
Alexis,Lowe,Toxicologist,+1-394-981-7836x8587,loweown@singh.com,82075,1261277,2023-03-15,11,2023,UAZ31286-97-4D,decor,misc,10.6,7.09,0.22,74,8
Mary,Bradley,"Radiographer, diagnostic",760-755-5494x04737,bradleym@perez-williams.com,37608,5298441,2023-03-05,9,2023,MEX67117-45-3X,decor,wall art,23.4,21.53,3.03,458,7
Mackenzie,Mejia,Heritage manager,648.613.3520x7514,mejiam3273@brooks.com,96954,2332622,2023-01-02,1,2023,DBE42716-07-1U,consumables,paper products,37.71,35.55,0.5,110,1
Ashley,Kim,Local government officer,001-895-417-4003x017,kimashley@stevenson.net,53348,5741617,2023-04-08,14,2023,EUD29711-63-6U,decor,wall art,1096.8,762.71,7.5,73,6
Joshua,Garza,"Physicist, medical",+1-893-589-7899x11282,storyjoshua@floyd.com,40490,5422023,2023-04-21,16,2023,XBZ40996-40-6A,furniture,stands,342.71,291.02,14.76,4896,5
Brandon,Allen,"Geologist, wellsite",705-244-4626,ballen2525@houston.net,97794,5493117,2023-02-08,6,2023,UEU57935-93-6A,software,logistics,100.09,85.84,1.2,3557,2
Thomas,Wiggins,Paramedic,380-613-5572x875,twiggins@ball.com,22008,7403855,2023-03-11,10,2023,AEM31850-24-5M,software,project management,47.27,36.01,0.27,22,0
Tara,Strickland,"Teacher, music",001-633-502-4884x44420,tara.strickland.363@davis.org,77340,4877044,2023-03-07,10,2023,MEM49712-30-9A,consumables,bathroom supplies,140.34,89.41,6.0,93,2
Mark,Franklin,Therapeutic radiographer,(758)736-8281,franklinm9156@adams-ortiz.com,47507,2074963,2023-05-20,20,2023,ZBZ76765-83-2X,electronics,telecom,222.03,155.57,1.33,30,5
Jackie,Castillo,Osteopath,575.548.5283x23230,castillo.jackie.4443@white.com,91091,5623031,2023-05-21,20,2023,AED18231-65-2Z,consumables,kitchen supplies,51.95,47.72,1.43,39,1
Claire,Serrano,Biomedical scientist,001-667-417-7335x439,claireserrano6407@rivera.info,86045,1638992,2023-03-22,12,2023,MEZ47300-55-0B,software,accounting,45.98,26.2,4.29,58,6
Melissa,Smith,"Pilot, airline",001-638-231-7128x99395,smithmelissa@miller.com,99231,3880150,2023-04-30,17,2023,ECE68439-05-8C,furniture,seating,14.82,8.82,4.43,26,0
Mary,Ramirez,Customer service manager,893-575-5590,ramirez.mary@diaz.info,49037,7210789,2023-03-05,9,2023,BAC18826-86-6M,software,project management,10.38,6.22,12.22,55,6
Aaron,Martinez,Armed forces technical officer,283.652.2505x6088,aaron.martinez@morton.biz,19820,2597177,2023-01-19,3,2023,UUX03397-27-4C,consumables,misc,107.61,98.35,6.28,18,2
Joshua,White,"Development worker, international aid",+1-568-492-1602x59261,joshuascientist5926@gray.com,61465,5014231,2023-01-12,2,2023,DCU57849-62-9U,furniture,seating,71.62,60.22,0.41,79,1
Holly,Williams,Forest/woodland manager,4245005645,williams.holly.1628@cruz.com,48193,5440266,2023-01-13,2,2023,EMA34385-20-0D,consumables,kitchen supplies,61.6,34.17,0.74,118,4
Mark,Turner,Education administrator,(640)604-9066,markturner4518@garcia.com,25936,3329651,2023-05-28,21,2023,UMM09630-46-2U,software,project management,386.67,238.59,0.03,162,5
Alexandra,Chen,Retail manager,(496)439-3321,chen.alexandra@rodriguez-wright.com,32620,5680571,2023-02-11,6,2023,UAU40137-77-3U,decor,plants,367.76,235.57,10.08,432,1
John,Hernandez,Architectural technologist,268.259.7138,result.john.439@manning.com,14935,7527039,2023-03-17,11,2023,DEA49899-87-6A,furniture,stands,1.68,1.13,1.13,32,2
Shawn,Turner,"Physicist, medical",+1-801-834-4139x12645,s.turner@sanders.org,16444,7882542,2023-01-15,2,2023,AEE51706-20-3U,consumables,paper products,42.06,30.31,1.28,10,4
Christopher,Rodriguez,"Buyer, industrial",001-723-752-6943,rodriguezchristopher@taylor.com,37542,3439695,2023-04-05,14,2023,MAU13971-98-9B,software,accounting,163.59,106.62,3.94,36,7
Patrick,Anderson,Commercial art gallery manager,947-812-9604x27025,andersonboard7205@delgado-hodge.org,51869,4551002,2023-04-26,17,2023,UDD36271-08-3D,furniture,tables,149.8,105.9,0.79,50,2
Bryan,Myers,Chief of Staff,444.233.9146x233,bmyers3696@wilson.com,46820,7109502,2023-05-12,19,2023,CXU60946-73-5B,consumables,bathroom supplies,136.13,111.47,5.65,118,9
David,Hart,"Designer, interior/spatial",2229562101,hart.david.9828@wood.com,16500,2116173,2023-04-20,16,2023,ABX84520-93-4A,software,project management,13.02,12.18,2.03,4,3
Robert,Taylor,Learning mentor,743-370-7870x7946,rtaylor7129@navarro-smith.com,65084,1242884,2023-02-19,7,2023,MMZ75256-71-7M,software,project management,43.22,40.78,16.57,151,2
Joseph,Joyce,Audiological scientist,001-786-572-5868x34668,joseph.joyce.9673@johnson.biz,94475,9549162,2023-01-26,4,2023,DEC92033-19-9C,electronics,telecom,6.09,5.5,1.38,119,1
Jessica,Gonzalez,Editorial assistant,001-766-709-4338x01962,gonzalezj@horn-fields.com,29992,4221527,2023-01-23,4,2023,AEE37351-26-7B,software,logistics,2.55,1.83,34.85,38,4
William,Parker,"Designer, multimedia",(880)502-3063x12546,parkerfinally@todd.com,34211,3682753,2023-03-12,10,2023,MDD91171-08-7U,decor,misc,45.68,34.27,10.37,5,2
Reginald,Morton,Product/process development scientist,+1-963-375-7945x51345,mortonmusic3981@jordan.com,17699,7465192,2023-01-01,52,2022,ZBU29496-52-2X,consumables,paper products,88.13,83.37,0.05,26,6
